Date,Time,Latitude,Longitude,Type,Depth,Magnitude
3/23/1971,9:26:29,70.974,-6.978,Earthquake,15,6.2
4/6/1971,11:06:30,-22.089,-179.525,Earthquake,588.8,6.1
5/2/1971,6:08:27,51.396,-177.318,Earthquake,24.2,7
5/19/1971,11:06:31,2.302,129.074,Earthquake,30,5.5
6/10/1971,19:59:54,41.087,138.549,Earthquake,230.8,6
7/9/1971,3:03:20,-32.601,-71.076,Earthquake,60.3,7.8
7/19/1971,15:37:45,-5.567,150.562,Earthquake,10,6.3
7/26/1971,16:45:02,-5.972,151.499,Earthquake,40,5.8
8/2/1971,13:00:02,41.424,143.473,Earthquake,44.7,5.5
8/16/1971,22:37:33,28.791,103.595,Earthquake,20,5.6
9/8/1971,3:17:28,46.692,141.449,Earthquake,20,5.7
9/25/1971,13:05:57,-32.475,-73.076,Earthquake,15,5.7
10/12/1971,9:44:59,15.888,-91.004,Earthquake,25,5.7
10/28/1971,14:20:32,-13.342,166.392,Earthquake,40,5.7
11/24/1971,19:35:33,52.803,159.199,Earthquake,125,7.3
12/17/1971,19:06:08,55.474,163.657,Earthquake,28.8,6.3
1/12/1972,9:59:10,-6.833,-71.847,Earthquake,569.1,6.4
1/28/1972,16:18:28,20.963,120.063,Earthquake,35,5.7
2/24/1972,1:43:05,55.846,-158.214,Earthquake,58.9,5.5
3/20/1972,23:31:49,51.277,-179.233,Earthquake,35,5.9
4/3/1972,18:52:58,54.238,-35.118,Earthquake,10,5.7
4/27/1972,19:20:55,24.043,122.425,Earthquake,31.8,5.6
5/11/1972,21:18:27,-27.825,-178.88,Earthquake,358.1,5.9
6/8/1972,9:14:09,21.085,120.207,Earthquake,25,5.7
7/3/1972,5:31:30,5.794,125.865,Earthquake,105,5.6
7/30/1972,23:17:23,-5.877,130.525,Earthquake,90,5.9
8/10/1972,15:31:27,-21.396,-174.371,Earthquake,40,5.6
8/30/1972,18:51:33,36.62,96.562,Earthquake,18,5.5
9/11/1972,10:36:55,-3.551,149.92,Earthquake,10,5.6
9/22/1972,19:57:28,22.413,121.123,Earthquake,25,6.3
10/15/1972,10:28:08,-22.167,171.479,Earthquake,90,6
11/3/1972,23:57:56,-19.181,-69.108,Earthquake,116.6,5.5
11/20/1972,9:11:44,16.871,145.963,Earthquake,130,5.5
12/4/1972,17:51:21,-1.535,136.657,Earthquake,15,6
12/17/1972,18:00:51,-5.59,153.244,Earthquake,40.9,5.7
1/3/1973,14:31:05,39.114,71.889,Earthquake,33,5.5
2/1/1973,5:14:21,-22.655,-66.195,Earthquake,229,6.1
2/18/1973,3:48:53,-36.694,-17.203,Earthquake,33,5.6
3/10/1973,9:50:00,-15.184,-173.524,Earthquake,8,5.6
3/23/1973,6:55:33,51.301,174.217,Earthquake,27,5.9
4/8/1973,20:48:46,-23.876,-177.044,Earthquake,122,5.5
5/1/1973,10:40:47,-10.016,150.176,Earthquake,27,5.9
5/30/1973,4:38:02,-2.26,-78.523,Earthquake,111,5.7
6/15/1973,21:09:42,53.564,161.551,Earthquake,45,5.5
6/23/1973,5:26:49,51.875,-176.9,Earthquake,62,5.5
7/5/1973,0:58:45,43.988,147.849,Earthquake,40,5.5
7/24/1973,20:03:35,-30.526,-71.601,Earthquake,60,5.6
8/7/1973,14:22:45,-26.829,-70.919,Earthquake,14,6.3
8/25/1973,3:44:34,10.607,138.423,Earthquake,33,5.8
9/11/1973,23:18:51,25.645,124.509,Earthquake,141,5.8
9/28/1973,11:32:23,13.244,50.722,Earthquake,33,5.5
10/28/1973,13:44:46,-33.042,-179.151,Earthquake,95,5.5
11/15/1973,15:06:36,-1.374,-15.791,Earthquake,33,5.5
11/30/1973,18:41:08,-6.264,154.11,Earthquake,28,5.5
12/23/1973,18:31:33,-56.291,-139.014,Earthquake,33,5.7
1/3/1974,11:15:24,-14.562,166.347,Earthquake,9,5.5
1/22/1974,13:28:20,55.204,162.142,Earthquake,33,5.7
2/3/1974,10:08:48,18.909,120.07,Earthquake,30,5.9
2/28/1974,12:59:30,-19.201,169.824,Earthquake,14,5.5
3/22/1974,18:13:41,49.9,90.807,Earthquake,33,5.5
4/17/1974,15:21:24,1.516,126.239,Earthquake,33,5.5
5/7/1974,3:04:58,12.728,-44.484,Earthquake,33,5.8
5/17/1974,20:55:11,-6.513,106.837,Earthquake,131,6
6/14/1974,13:24:41,-60.649,-37.598,Earthquake,33,5.6
7/1/1974,23:11:15,-22.642,-10.674,Earthquake,33,5.6
7/28/1974,11:35:00,46.293,153.33,Earthquake,52,5.9
8/11/1974,20:05:30,39.471,73.652,Earthquake,33,5.8
8/29/1974,9:59:55,73.366,55.094,Nuclear Explosion,0,6.4
9/16/1974,21:55:51,49.625,155.944,Earthquake,48,5.5
10/10/1974,6:48:14,40.96,143.129,Earthquake,29,6.2
10/22/1974,12:06:11,62.087,-26.17,Earthquake,33,5.6
11/14/1974,4:48:55,58.797,-154.62,Earthquake,37,5.6
12/4/1974,3:07:46,0.393,97.843,Earthquake,20,6.9
1/1/1975,20:24:33,-4.932,129.923,Earthquake,20,5.7
1/20/1975,17:31:11,34.992,141.188,Earthquake,28,5.9
1975-02-23T02:58:41.000Z,1975-02-23T02:58:41.000Z,8.017,124.075,Earthquake,623,5.6
3/14/1975,6:04:31,16.598,-93.385,Earthquake,155,5.5
4/2/1975,8:44:00,33.597,140.374,Earthquake,71,5.6
4/16/1975,1:27:19,71.516,-10.427,Earthquake,13,6.5
5/10/1975,14:27:39,-38.183,-73.232,Earthquake,6,7.7
5/30/1975,17:45:01,26.642,97.025,Earthquake,57,5.6
6/14/1975,10:40:21,-32.494,-70.683,Earthquake,94,5.7
6/30/1975,18:54:13,44.745,-110.605,Earthquake,7,5.9
7/20/1975,8:59:19,-54.746,144.193,Earthquake,33,5.5
7/24/1975,22:23:47,-21.342,120.448,Earthquake,33,5.5
8/8/1975,15:51:16,-15.476,168.032,Earthquake,20,5.5
8/25/1975,21:42:11,-19.236,-69.162,Earthquake,119,5.7
9/20/1975,11:56:08,-13.21,167.047,Earthquake,202,5.6
10/3/1975,13:10:28,-7.841,122.852,Earthquake,244,5.5
10/15/1975,10:56:22,-11.639,119.087,Earthquake,33,5.6
10/30/1975,10:04:44,-22.454,173.758,Earthquake,22,5.5
11/17/1975,14:13:50,13.054,125.869,Earthquake,26,5.5
12/1/1975,12:06:57,12.578,126.031,Earthquake,30,5.6
12/24/1975,14:57:35,-10.736,163.302,Earthquake,33,5.7
1/6/1976,22:17:48,51.678,159.209,Earthquake,33,5.6
1/15/1976,8:29:55,-30.251,-177.412,Earthquake,44,5.5
1/23/1976,5:45:31,-7.478,119.905,Earthquake,614,6.4
2/3/1976,23:57:55,54.504,161.892,Earthquake,33,6
2/14/1976,20:31:38,-8.082,108.607,Earthquake,53,5.9
3/6/1976,11:07:14,0.838,122.6,Earthquake,51,5.5
3/28/1976,16:24:41,-5.001,105.052,Earthquake,179,5.5
4/12/1976,22:49:50,-32.736,-179.663,Earthquake,143,5.5
5/4/1976,8:30:07,-21.928,-175.033,Earthquake,54,5.5
5/16/1976,22:10:31,-54.617,-132.522,Earthquake,33,5.5
5/27/1976,20:40:29,-5.39,154.081,Earthquake,109,5.6
6/9/1976,16:30:40,-6.515,151.412,Earthquake,18,5.5
6/26/1976,10:30:59,3.665,126.75,Earthquake,33,6.5
7/17/1976,21:06:32,-4.157,152.755,Earthquake,53,6.6
8/4/1976,14:00:02,-35.647,-14.035,Earthquake,33,5.8
8/18/1976,20:27:32,6.923,123.691,Earthquake,33,5.7
9/1/1976,13:25:30,-20.414,169.364,Earthquake,75,5.7
9/16/1976,11:26:37,-9.214,148.139,Earthquake,15,5.9
10/5/1976,15:57:27,-30.379,-177.312,Earthquake,15,5.5
11/2/1976,11:19:14,-29.217,77.815,Earthquake,33,5.7
11/21/1976,17:34:21,3.745,128.131,Earthquake,77,5.6
12/4/1976,17:27:13,-56.076,-26.739,Earthquake,33,5.5
12/20/1976,20:33:08,48.802,-129.292,Earthquake,10,6.7
1/12/1977,23:35:19,1.577,99.856,Earthquake,178,5.6
2/6/1977,3:09:14,-21.821,-175.259,Earthquake,33,5.7
3/4/1977,19:21:54,45.772,26.761,Earthquake,94,6.4
3/21/1977,22:42:07,27.602,56.52,Earthquake,36,5.8
4/7/1977,22:15:10,-6.407,130.011,Earthquake,118,5.5
4/21/1977,4:24:10,-9.965,160.731,Earthquake,33,7.5
5/20/1977,22:51:14,-4.444,101.975,Earthquake,37,5.7
6/13/1977,10:08:48,-18.525,-174.057,Earthquake,41,5.5
7/6/1977,4:42:24,5.278,-82.651,Earthquake,33,5.5
7/22/1977,17:16:40,-33.797,-179.72,Earthquake,31,6
8/19/1977,6:43:31,-10.566,118.386,Earthquake,33,6.1
8/25/1977,18:05:11,-10.743,119.268,Earthquake,33,6.1
9/4/1977,8:48:39,-13.682,166.706,Earthquake,33,6.5
